id,heavy,light,antigen,playload,linker,dar,label
DRG0RHSBY,protein_20,protein_161,protein_269,molecule_5,molecule_112,8.0,1
DRG0PZVUG,protein_1,protein_144,protein_256,molecule_15,molecule_111,3.7,1
DRG0ABJAM,protein_1,protein_144,protein_256,molecule_1,molecule_71,1.86,0
DRG0GRGXW,protein_1,protein_144,protein_256,molecule_5,molecule_121,3.91,0
DRG0ONBQK,protein_9,protein_152,protein_256,molecule_5,molecule_75,4.0,0
DRG0ETXYY,protein_30,protein_162,protein_260,molecule_6,molecule_76,3.5,0
DRG0UQXNZ,protein_1,protein_144,protein_256,molecule_8,molecule_79,3.7,0
DRG0MBBBD,protein_114,protein_255,protein_279,molecule_65,molecule_105,2.0,1
DRG0RANRT,protein_24,protein_165,protein_271,molecule_19,molecule_75,4.0,1
DRG0IJVEW,protein_1,protein_144,protein_256,molecule_58,molecule_148,2.75,0
DRG0EXQEE,protein_114,protein_238,protein_279,molecule_65,molecule_105,2.0,1
DRG0MYPET,protein_8,protein_151,protein_262,molecule_7,molecule_84,3.75,0
DRG0QVAFS,protein_20,protein_161,protein_269,molecule_5,molecule_119,8.0,1
DRG0JWTIJ,protein_7,protein_192,protein_269,molecule_34,molecule_104,8.0,1
DRG0QTTWI,protein_17,protein_160,protein_267,molecule_6,molecule_76,3.5,1
DRG0IYBRT,protein_61,protein_197,protein_279,molecule_14,molecule_73,1.7,1
DRG0STMAC,protein_23,protein_164,protein_262,molecule_6,molecule_88,3.85,0
DRG0BUAWG,protein_20,protein_161,protein_269,molecule_15,molecule_90,8.0,1
DRG0ZOOMZ,protein_59,protein_145,protein_257,molecule_2,molecule_72,3.5,0
DRG0SRATX,protein_10,protein_154,protein_263,molecule_35,molecule_83,2.0,1
DRG0COYJA,protein_1,protein_144,protein_256,molecule_8,molecule_122,2.0,1
DRG0PPHVA,protein_1,protein_144,protein_256,molecule_38,molecule_71,3.7,1
DRG0AWUIJ,protein_34,protein_174,protein_273,molecule_6,molecule_76,3.5,1
DRG0ARZKN,protein_54,protein_144,protein_256,molecule_5,molecule_75,3.9,0
DRG0GFDUW,protein_10,protein_154,protein_263,molecule_27,molecule_83,3.9,1
DRG0EFLMW,protein_68,protein_144,protein_256,molecule_39,molecule_111,2.0,0
DRG0XHGCX,protein_73,protein_206,protein_285,molecule_5,molecule_75,4.0,1
DRG0TIDUJ,protein_8,protein_151,protein_262,molecule_9,molecule_96,2.35,1
DRG0YRHDV,protein_114,protein_238,protein_279,molecule_24,molecule_141,2.0,1
DRG0DWYOX,protein_10,protein_154,protein_263,molecule_50,molecule_83,2.0,1
DRG0YJCVC,protein_32,protein_172,protein_276,molecule_8,molecule_79,4.0,1
DRG0LPINW,protein_34,protein_174,protein_273,molecule_7,molecule_84,3.5,1
DRG0ATULB,protein_69,protein_203,protein_271,molecule_7,molecule_80,3.5,1
DRG0GBRAR,protein_1,protein_144,protein_256,molecule_8,molecule_117,4.0,1
DRG0TUCHR,protein_23,protein_164,protein_262,molecule_7,molecule_84,3.95,1
DRG0VTKKK,protein_12,protein_145,protein_257,molecule_7,molecule_84,3.5,0
DRG0JNPOI,protein_79,protein_212,protein_291,molecule_15,molecule_90,3.5,0
DRG0RHWVZ,protein_10,protein_154,protein_263,molecule_11,molecule_83,4.0,1
DRG0DJFNE,protein_106,protein_232,protein_313,molecule_5,molecule_75,4.0,1
DRG0ILWKG,protein_23,protein_164,protein_262,molecule_7,molecule_80,3.75,1
DRG0QWZIT,protein_48,protein_186,protein_288,molecule_5,molecule_75,3.5,1
DRG0TLFED,protein_34,protein_174,protein_273,molecule_6,molecule_76,3.5,1
DRG0RFLKP,protein_59,protein_145,protein_257,molecule_6,molecule_88,3.5,0
DRG0SYDXK,protein_10,protein_154,protein_263,molecule_11,molecule_83,4.0,1
DRG0DRZRJ,protein_7,protein_192,protein_269,molecule_31,molecule_104,8.0,1
DRG0SXQXJ,protein_115,protein_199,protein_280,molecule_5,molecule_75,3.9,0
DRG0CCFSC,protein_1,protein_144,protein_256,molecule_29,molecule_102,3.0,0
DRG0HCGBQ,protein_20,protein_161,protein_269,molecule_24,molecule_89,3.8,1
DRG0BTGYC,protein_10,protein_154,protein_263,molecule_28,molecule_83,2.0,1
DRG0DLBAB,protein_41,protein_179,protein_282,molecule_5,molecule_75,3.9,0
DRG0FJAGM,protein_2,protein_145,protein_257,molecule_7,molecule_84,3.5,0
DRG0NPYPV,protein_1,protein_144,protein_256,molecule_5,molecule_75,3.7,1
DRG0VMSSD,protein_43,protein_181,protein_284,molecule_5,molecule_75,3.7,1
DRG0WLYOR,protein_22,protein_163,protein_270,molecule_7,molecule_115,3.5,1
DRG0MERWX,protein_38,protein_153,protein_257,molecule_7,molecule_78,3.5,0
DRG0YFUMC,protein_1,protein_144,protein_256,molecule_21,molecule_93,3.8,1
DRG0QJUWT,protein_85,protein_218,protein_304,molecule_51,molecule_125,2.0,1
DRG0NGSGM,protein_94,protein_223,protein_291,molecule_7,molecule_72,3.5,0
DRG0QMQKQ,protein_1,protein_144,protein_256,molecule_7,molecule_135,2.0,1
DRG0YTRFZ,protein_81,protein_213,protein_301,molecule_5,molecule_75,3.5,1
DRG0AICGX,protein_1,protein_144,protein_256,molecule_56,molecule_131,1.79,0
DRG0TGZCJ,protein_58,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0WOBTH,protein_82,protein_215,protein_291,molecule_4,molecule_74,8.0,1
DRG0TODDH,protein_1,protein_144,protein_256,molecule_5,molecule_75,3.76,0
DRG0ZYYQL,protein_125,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0KHFFZ,protein_47,protein_185,protein_287,molecule_8,molecule_79,4.0,1
DRG0MBWYP,protein_10,protein_154,protein_263,molecule_23,molecule_83,4.0,1
DRG0ZMZUD,protein_40,protein_178,protein_281,molecule_5,molecule_75,4.0,1
DRG0TVSRK,protein_10,protein_154,protein_263,molecule_50,molecule_83,3.9,1
DRG0LDNPD,protein_7,protein_150,protein_261,molecule_8,molecule_79,4.0,1
DRG0TEJEI,protein_10,protein_154,protein_263,molecule_50,molecule_83,4.0,1
DRG0EKTUN,protein_15,protein_158,protein_258,molecule_15,molecule_90,7.6,1
DRG0SNONX,protein_65,protein_200,protein_295,molecule_61,molecule_138,7.9,1
DRG0UFZSN,protein_34,protein_174,protein_273,molecule_7,molecule_80,3.5,1
DRG0GIBEK,protein_23,protein_164,protein_262,molecule_7,molecule_80,3.75,1
DRG0HDGML,protein_1,protein_144,protein_256,molecule_15,molecule_142,3.8,0
DRG0IWWAX,protein_9,protein_152,protein_256,molecule_5,molecule_111,4.5,0
DRG0ZKEKI,protein_108,protein_233,protein_256,molecule_14,molecule_73,1.0,1
DRG0TVMXR,protein_24,protein_165,protein_271,molecule_5,molecule_106,1.1,1
DRG0ZTLWT,protein_71,protein_191,protein_291,molecule_6,molecule_76,3.5,0
DRG0FQFDY,protein_1,protein_144,protein_256,molecule_36,molecule_109,2.22,1
DRG0HCOOU,protein_30,protein_162,protein_260,molecule_2,molecule_72,3.5,0
DRG0AWYBA,protein_1,protein_144,protein_256,molecule_8,molecule_146,2.0,0
DRG0PCZIX,protein_97,protein_192,protein_308,molecule_8,molecule_75,4.2,1
DRG0XIMBQ,protein_1,protein_144,protein_256,molecule_36,molecule_109,1.68,1
DRG0DGZOG,protein_52,protein_190,protein_260,molecule_7,molecule_80,3.6,1
DRG0CZZTF,protein_1,protein_144,protein_256,molecule_5,molecule_77,4.0,1
