id,heavy,light,antigen,playload,linker,dar,label
DRG0DAKKB,protein_35,protein_175,protein_278,molecule_4,molecule_74,8.0,1
DRG0XOWVF,protein_1,protein_144,protein_256,molecule_5,molecule_103,4.0,1
DRG0DBPMZ,protein_7,protein_192,protein_269,molecule_15,molecule_90,8.0,1
DRG0CXLYV,protein_28,protein_169,protein_273,molecule_43,molecule_76,4.25,0
DRG0HORED,protein_68,protein_144,protein_256,molecule_63,molecule_111,2.0,0
DRG0BXRDQ,protein_72,protein_205,protein_297,molecule_15,molecule_90,6.0,1
DRG0PNNEH,protein_8,protein_151,protein_262,molecule_7,molecule_80,3.75,0
DRG0MPDIB,protein_18,protein_154,protein_268,molecule_13,molecule_87,4.0,1
DRG0YTQWE,protein_1,protein_144,protein_256,molecule_5,molecule_114,4.0,1
DRG0DBEFV,protein_10,protein_154,protein_263,molecule_35,molecule_83,4.0,1
DRG0CQCIH,protein_139,protein_251,protein_318,molecule_20,molecule_94,2.0,1
DRG0DNWSM,protein_4,protein_147,protein_259,molecule_46,molecule_94,2.0,1
DRG0XTHXR,protein_131,protein_199,protein_280,molecule_5,molecule_75,3.9,0
DRG0OJHEN,protein_143,protein_254,protein_271,molecule_7,molecule_80,1.0,1
DRG0WWBCV,protein_55,protein_193,protein_257,molecule_7,molecule_80,3.8,1
DRG0KBADU,protein_65,protein_200,protein_295,molecule_15,molecule_90,7.6,0
DRG0BWNUI,protein_63,protein_173,protein_277,molecule_4,molecule_74,7.7,1
DRG0GPTJL,protein_1,protein_144,protein_256,molecule_45,molecule_118,4.0,1
DRG0SMSNG,protein_2,protein_145,protein_257,molecule_6,molecule_88,3.5,0
DRG0AAUKK,protein_61,protein_197,protein_279,molecule_15,molecule_90,6.0,1
DRG0YWVTW,protein_25,protein_166,protein_260,molecule_6,molecule_76,3.5,0
DRG0MILFL,protein_8,protein_151,protein_262,molecule_7,molecule_137,3.75,0
DRG0NHNQW,protein_21,protein_162,protein_260,molecule_6,molecule_88,3.5,0
DRG0IVNNT,protein_8,protein_151,protein_262,molecule_6,molecule_137,3.75,0
DRG0NNKAQ,protein_109,protein_234,protein_285,molecule_4,molecule_74,6.0,1
DRG0TRBER,protein_1,protein_144,protein_256,molecule_5,molecule_77,8.0,1
DRG0XXDZE,protein_19,protein_153,protein_257,molecule_7,molecule_84,3.5,0
DRG0WRMGX,protein_10,protein_154,protein_263,molecule_30,molecule_83,4.0,1
DRG0ENYXZ,protein_1,protein_144,protein_256,molecule_5,molecule_75,3.8,1
DRG0MOFZM,protein_2,protein_145,protein_257,molecule_7,molecule_80,3.6,1
DRG0COMTY,protein_4,protein_147,protein_259,molecule_5,molecule_75,3.1,1
DRG0BRWYZ,protein_1,protein_144,protein_256,molecule_14,molecule_73,2.51,1
DRG0THGAW,protein_1,protein_144,protein_256,molecule_12,molecule_85,2.8,1
DRG0EGHSJ,protein_120,protein_199,protein_280,molecule_5,molecule_75,3.9,0
DRG0PZDCU,protein_19,protein_153,protein_257,molecule_7,molecule_78,3.5,0
DRG0XCSOA,protein_1,protein_144,protein_256,molecule_33,molecule_107,4.6,1
DRG0MJNCJ,protein_10,protein_154,protein_263,molecule_23,molecule_83,4.0,1
DRG0TFVTP,protein_23,protein_164,protein_262,molecule_7,molecule_84,3.75,0
DRG0NIVXX,protein_1,protein_144,protein_256,molecule_8,molecule_151,2.0,1
DRG0UCXTV,protein_20,protein_161,protein_269,molecule_4,molecule_74,8.0,1
DRG0TKVCB,protein_130,protein_245,protein_308,molecule_14,molecule_73,2.3,1
DRG0NZFTR,protein_59,protein_145,protein_257,molecule_7,molecule_78,3.5,0
DRG0CVRIW,protein_53,protein_191,protein_291,molecule_6,molecule_76,3.5,1
DRG0EUFBI,protein_133,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0PNOZP,protein_6,protein_149,protein_260,molecule_7,molecule_84,3.5,0
DRG0JEUPG,protein_15,protein_158,protein_258,molecule_4,molecule_74,4.18,0
DRG0ERKBH,protein_1,protein_144,protein_256,molecule_4,molecule_74,8.0,1
DRG0MAXJA,protein_21,protein_162,protein_260,molecule_7,molecule_78,3.5,0
DRG0QGQWG,protein_31,protein_171,protein_275,molecule_15,molecule_95,6.0,1
DRG0PFZZF,protein_59,protein_145,protein_257,molecule_7,molecule_80,3.5,1
DRG0OJWBX,protein_1,protein_144,protein_256,molecule_3,molecule_73,6.94,0
DRG0CYYHU,protein_1,protein_144,protein_256,molecule_5,molecule_97,2.0,1
DRG0XGLSR,protein_74,protein_207,protein_277,molecule_6,molecule_88,3.6,1
DRG0BBYHA,protein_98,protein_226,protein_309,molecule_7,molecule_84,3.5,1
DRG0NGUFC,protein_129,protein_244,protein_285,molecule_5,molecule_75,4.0,1
DRG0VPRQO,protein_6,protein_149,protein_260,molecule_6,molecule_88,3.5,0
DRG0OYVGP,protein_8,protein_151,protein_262,molecule_7,molecule_145,3.75,0
DRG0RNCBE,protein_1,protein_144,protein_256,molecule_15,molecule_142,7.1,0
DRG0QEZZC,protein_52,protein_190,protein_260,molecule_6,molecule_88,3.5,0
DRG0PBBKC,protein_8,protein_151,protein_262,molecule_9,molecule_150,4.79,1
DRG0WIBDT,protein_136,protein_249,protein_298,molecule_68,molecule_116,2.0,1
DRG0WWOAE,protein_2,protein_153,protein_257,molecule_6,molecule_76,3.5,0
DRG0HEEGF,protein_1,protein_182,protein_256,molecule_8,molecule_75,3.6,0
DRG0KXYRT,protein_1,protein_144,protein_256,molecule_17,molecule_93,3.8,1
DRG0WHDMO,protein_20,protein_161,protein_269,molecule_31,molecule_104,8.0,1
DRG0SBFOG,protein_21,protein_162,protein_260,molecule_6,molecule_76,3.6,1
DRG0MCWQA,protein_123,protein_242,protein_302,molecule_5,molecule_75,4.0,1
DRG0PILVE,protein_1,protein_144,protein_256,molecule_58,molecule_133,2.39,0
DRG0JOHND,protein_88,protein_220,protein_274,molecule_25,molecule_99,2.5,1
DRG0DLGFI,protein_2,protein_153,protein_257,molecule_7,molecule_80,4.0,0
DRG0OHTUI,protein_1,protein_144,protein_256,molecule_14,molecule_73,2.0,1
DRG0NSVEM,protein_1,protein_144,protein_256,molecule_18,molecule_75,8.7,0
DRG0DYTOF,protein_25,protein_166,protein_260,molecule_7,molecule_78,3.5,0
DRG0ONJMR,protein_24,protein_165,protein_271,molecule_49,molecule_123,3.75,0
DRG0IBFEK,protein_24,protein_165,protein_271,molecule_5,molecule_75,3.2,1
DRG0TCBEP,protein_89,protein_221,protein_256,molecule_5,molecule_75,4.0,1
DRG0CECRA,protein_1,protein_144,protein_256,molecule_44,molecule_74,5.7,1
DRG0WJWEG,protein_57,protein_195,protein_293,molecule_5,molecule_75,2.3,1
DRG0ZBHUT,protein_10,protein_154,protein_263,molecule_64,molecule_83,3.9,1
DRG0CWQFB,protein_1,protein_144,protein_256,molecule_7,molecule_76,3.3,0
DRG0OUFUE,protein_1,protein_182,protein_256,molecule_8,molecule_79,3.6,0
DRG0CRHCH,protein_80,protein_188,protein_271,molecule_46,molecule_94,2.0,1
DRG0GJKQT,protein_16,protein_159,protein_260,molecule_6,molecule_76,3.5,0
