id,sequence,method
molecule_1,C1(OC)C(O)C(C)OC(Oc2c(I)c(C)c(C(=O)SC3C(C)OC(ONC4C(O)C(OC5CC(OC)C(N(C(=O)CN)CC)CO5)C(OC5C6=C(NC(OC)=O)C(=O)CC(O)(/C6=C/CSSC(C)(C)CC(=O)NCCOCCOC)C#C/C=C\C#C5)OC4C)CC3O)c(OC)c2OC)C1O,rand_1
molecule_1,C1(O)C(Oc2c(I)c(C)c(C(SC3C(O)CC(ONC4C(C)OC(OC5C#C/C=C\C#CC6(O)CC(=O)C(NC(=O)OC)=C5/C6=C\CSSC(C)(CC(=O)NCCOCCOC)C)C(OC5OCC(N(C(CN)=O)CC)C(OC)C5)C4O)OC3C)=O)c(OC)c2OC)OC(C)C(O)C1OC,rand_2
molecule_1,O1C(ONC2C(C)OC(OC3C#C/C=C\C#CC4(O)/C(=C/CSSC(CC(NCCOCCOC)=O)(C)C)C3=C(NC(=O)OC)C(=O)C4)C(OC3CC(OC)C(N(CC)C(=O)CN)CO3)C2O)CC(O)C(SC(c2c(OC)c(OC)c(OC3C(O)C(OC)C(O)C(C)O3)c(I)c2C)=O)C1C,rand_3
molecule_1,C1#CC2(O)CC(=O)C(NC(OC)=O)=C(/C2=C\CSSC(C)(CC(NCCOCCOC)=O)C)C(OC2OC(C)C(NOC3CC(O)C(SC(c4c(OC)c(OC)c(OC5OC(C)C(O)C(OC)C5O)c(I)c4C)=O)C(C)O3)C(O)C2OC2CC(OC)C(N(C(=O)CN)CC)CO2)C#C/C=C\1,rand_4
molecule_1,O=C(SC1C(C)OC(ONC2C(O)C(OC3CC(OC)C(N(C(=O)CN)CC)CO3)C(OC3C4=C(NC(OC)=O)C(=O)CC(O)(/C4=C/CSSC(C)(CC(NCCOCCOC)=O)C)C#C/C=C\C#C3)OC2C)CC1O)c1c(OC)c(OC)c(OC2C(O)C(OC)C(O)C(C)O2)c(I)c1C,rand_5
molecule_1,C1#CC(OC2C(OC3OCC(N(C(=O)CN)CC)C(OC)C3)C(O)C(NOC3CC(O)C(SC(c4c(OC)c(OC)c(OC5C(O)C(OC)C(O)C(C)O5)c(I)c4C)=O)C(C)O3)C(C)O2)C2=C(NC(=O)OC)C(=O)CC(O)(/C2=C/CSSC(C)(CC(NCCOCCOC)=O)C)C#C/C=C\1,rand_6
molecule_1,S(C/C=C1/C2(O)C#C/C=C\C#CC(OC3C(OC4CC(OC)C(N(CC)C(CN)=O)CO4)C(O)C(NOC4OC(C)C(SC(=O)c5c(OC)c(OC)c(OC6OC(C)C(O)C(OC)C6O)c(I)c5C)C(O)C4)C(C)O3)C1=C(NC(=O)OC)C(=O)C2)SC(C)(C)CC(NCCOCCOC)=O,rand_7
molecule_1,C1#CC(OC2C(OC3CC(OC)C(N(CC)C(=O)CN)CO3)C(O)C(NOC3OC(C)C(SC(=O)c4c(OC)c(OC)c(OC5OC(C)C(O)C(OC)C5O)c(I)c4C)C(O)C3)C(C)O2)C2=C(NC(=O)OC)C(=O)CC(O)(/C2=C/CSSC(C)(C)CC(=O)NCCOCCOC)C#C/C=C\1,rand_8
molecule_1,O1C(C)C(O)C(OC)C(O)C1Oc1c(I)c(C)c(C(SC2C(O)CC(ONC3C(O)C(OC4OCC(N(C(CN)=O)CC)C(OC)C4)C(OC4C#C/C=C\C#CC5(O)/C(=C/CSSC(CC(=O)NCCOCCOC)(C)C)C4=C(NC(OC)=O)C(=O)C5)OC3C)OC2C)=O)c(OC)c1OC,rand_9
molecule_1,C1=C\C#CC(OC2OC(C)C(NOC3CC(O)C(SC(=O)c4c(C)c(I)c(OC5C(O)C(OC)C(O)C(C)O5)c(OC)c4OC)C(C)O3)C(O)C2OC2CC(OC)C(N(C(=O)CN)CC)CO2)C2=C(NC(OC)=O)C(=O)CC(O)(C#C/1)/C2=C/CSSC(C)(CC(=O)NCCOCCOC)C,rand_10
